Card Type Code,Card Type Full Name,Issuing Bank,Card Number,Card Holder's Name,CVV/CVV2,Issue Date,Expiry Date,Billing Date,Card PIN,Credit Limit
JC,Japan Credit Bureau,JCB,3587804193769544,Jeffrey J Barnes,337,08/2015,08/2023,2,7675,155600
MC,Master Card,Capital One,5396432645152774,Victor J Mercado,591,09/2012,09/2018,18,8687,27000
VI,Visa,Barclays,4427457766161029,Justin Y Coleman,807,06/2007,06/2008,24,8844,154800
AX,American Express,USAA,345283519946202,Heather Wong,6812,02/2012,02/2020,6,8170,10700
DS,Discover,Discover,6011176670704222,Marilyn E Coleman,294,10/2016,10/2024,26,2677,188300
MC,Master Card,Bank of America,5277170861128623,Grace D Sparks,076,07/2008,07/2009,21,6076,170100
DS,Discover,Discover,6011799905775830,Donna A Rodriguez,545,04/2009,04/2020,21,1992,189200
MC,Master Card,Barclays,5239508731179937,Anita O Brennan,862,05/2010,05/2015,24,5281,83900
VI,Visa,Chase,4391913331428998,Jack Foster,717,03/2015,03/2021,3,4177,57300
MC,Master Card,Capital One,5227744105887664,Arthur Hines,374,10/2013,10/2023,24,5574,154800
DC,Diners Club International,Diners Club,30303893030165,Diane R Ross,937,05/2011,05/2018,16,4008,177200
JC,Japan Credit Bureau,JCB,3543177982348371,Leonard K Browning,380,11/2013,11/2021,6,0202,151400
MC,Master Card,Barclays,5478071282161218,Nancy C Cox,756,06/2012,06/2016,24,9008,187600
MC,Master Card,Chase,5200821738515481,Howard R Bernard,435,06/2015,06/2026,13,4804,143400
MC,Master Card,Barclays,5314978894096111,Phyllis H Johnson,614,03/2015,03/2024,18,7650,71000
DS,Discover,Discover,6011782031851808,Diane Carroll,619,09/2013,09/2026,26,7785,178700
VI,Visa,Chase,4429191748538040,Stephen H Ramirez,432,12/2007,12/2014,14,3233,77000
DC,Diners Club International,Diners Club,30939998690385,Alicia S Crawford,106,06/2012,06/2029,14,3702,38700
MC,Master Card,Chase,5360282527143330,Anthony C Sanchez,000,01/2016,01/2033,22,8731,31400
JC,Japan Credit Bureau,JCB,3547074154213978,Jennifer K Potts,740,08/2010,08/2015,24,3715,74900
VI,Visa,Cabela’s WFB,4667851507232827,Rachel V Jenkins,472,08/2010,08/2012,21,0425,152300
AX,American Express,American Express,374521213444907,Howard C Dunlap,7937,01/2017,01/2027,28,9677,187700
AX,American Express,American Express,347364406683575,Gerald O Lee,3614,08/2016,08/2022,23,0652,27400
DC,Diners Club International,Diners Club,30345286399871,Dorothy H Le,379,06/2007,06/2022,8,0913,135700
DC,Diners Club International,Diners Club,36889730550872,Willie O King,019,06/2014,06/2033,27,2447,61700
JC,Japan Credit Bureau,JCB,3576884240025192,David Z Hood,596,04/2017,04/2021,25,5263,42200
MC,Master Card,Chase,5453499332117717,Aaron Z Ramirez,858,04/2011,04/2025,24,1434,52500
MC,Master Card,Citibank,5175321245361421,Christina G Francis,756,04/2017,04/2024,13,8442,12000
AX,American Express,American Express,379862859443935,Cynthia Evans,0995,08/2017,08/2034,25,2735,55700
DS,Discover,Discover,6011947988442295,Paula E Head,416,07/2017,07/2026,27,8279,98000
AX,American Express,American Express,370138166851022,Jeremy N White,9594,07/2009,07/2016,4,3248,199000
DC,Diners Club International,Diners Club,38916424983909,Don P Wooten,423,05/2015,05/2016,4,2913,198800
MC,Master Card,Chase,5243003288382344,Robert A Long,890,08/2007,08/2026,15,2078,134900
MC,Master Card,GE Capital,5279163543425523,Stanley K Hopper,844,11/2013,11/2016,12,4482,80500
MC,Master Card,Wells Fargo,5347354432198200,Jeremy O Wilson,306,12/2007,12/2008,3,4448,19800
DS,Discover,Discover,6503768035770198,Joyce B Warren,105,01/2007,01/2020,18,2394,148600
MC,Master Card,Chase,5185684984230984,Margaret T Ramirez,833,01/2009,01/2018,6,6900,195100
AX,American Express,American Express,346715514167929,Marcus D Ashley,2302,04/2013,04/2021,6,2724,28400
MC,Master Card,Barclays,5361683471944111,Frances S Henderson,371,06/2014,06/2026,16,4097,28100
AX,American Express,American Express,344774454058244,Randall Z Lott,7026,11/2013,11/2021,28,2813,44800
AX,American Express,American Express,371048488202599,Craig Gonzalez,3664,08/2015,08/2025,1,0040,30700
DS,Discover,Discover,6011276417636461,Annie R House,912,06/2011,06/2021,1,2612,95300
JC,Japan Credit Bureau,JCB,3574602168392317,Patricia Williams,147,04/2015,04/2027,8,9007,13100
VI,Visa,Citibank,4662255863114782,Mario D Blanchard,703,03/2016,03/2022,15,6865,151200
JC,Japan Credit Bureau,JCB,3555247100463777,Judith Y Ross,762,02/2013,02/2031,17,4037,145600
MC,Master Card,Chase,5152534162343936,Allen Rodgers,155,10/2015,10/2020,9,4658,17300
AX,American Express,American Express,346077693838147,Rebecca Jenkins,2963,02/2014,02/2020,22,3262,65000
VI,Visa,Chase,4371272534015118,Francis Koch,813,11/2016,11/2025,9,5422,18700
JC,Japan Credit Bureau,JCB,3543410867000993,Linda T Brown,878,10/2014,10/2022,20,6905,139900
DC,Diners Club International,Diners Club,30018385606211,Amanda L Soto,751,04/2007,04/2020,17,2941,150100
DC,Diners Club International,Diners Club,30999634653924,Laura W Richardson,283,04/2015,04/2035,5,0253,126600
MC,Master Card,Capital One,5317687967276511,Henry W Ballard,353,03/2012,03/2028,12,1432,21500
AX,American Express,American Express,341728739318206,Rachel Turner,2134,07/2015,07/2028,19,0421,186700
DS,Discover,Discover,6460796411082848,Craig X Keith,177,05/2016,05/2024,4,0257,82100
MC,Master Card,Bank of America,5197486845921173,Bobby F Walker,351,10/2015,10/2024,19,7212,162200
DC,Diners Club International,Diners Club,30183046434146,Eleanor Crane,332,10/2014,10/2017,26,6331,88300
DC,Diners Club International,Diners Club,30316633926872,Laura N Jackson,506,11/2015,11/2024,16,0900,83900
MC,Master Card,Bank of America,5184365754974776,Kristen Frank,944,04/2011,04/2017,18,5784,145400
MC,Master Card,Chase,5399503918804668,Rose Jenkins,077,06/2008,06/2019,26,2235,184500
JC,Japan Credit Bureau,JCB,3554805075866455,Brandon B Boone,931,11/2017,11/2037,10,8949,192400
MC,Master Card,Bank of America,5353088009476430,Keith Z Morris,226,08/2008,08/2026,28,2482,65800
VI,Visa,U.S. Bancorp,4465416868939297,Mark Y Sheppard,720,11/2009,11/2014,10,5230,124500
MC,Master Card,Capital One,5261435645422339,Ronald R Stewart,826,12/2017,12/2024,24,3823,139100
VI,Visa,GE Capital,4530692732769919,Vincent U Jordan,481,03/2013,03/2019,15,6913,129300
AX,American Express,American Express,371829323665854,Walter B Lopez,4580,09/2009,09/2012,27,2909,140400
VI,Visa,Citibank,4546704841554181,Paula R Bryan,943,04/2009,04/2027,15,3492,102900
VI,Visa,Citibank,4337062521342242,Kathy Robinson,489,03/2011,03/2019,18,2905,25800
MC,Master Card,Chase,5285960602493348,Sean J Young,336,02/2010,02/2012,10,0556,101400
DC,Diners Club International,Diners Club,30318443720172,Charles R Brooks,324,01/2011,01/2017,23,1808,44600
DS,Discover,Discover,6011997178442613,William N French,500,10/2016,10/2026,23,9815,25600
DC,Diners Club International,Diners Club,30468387466900,Alice G Mitchell,878,09/2011,09/2012,3,7377,68000
VI,Visa,Chase,4871548318349681,Sandra N Parrish,479,06/2008,06/2011,6,9321,20300
JC,Japan Credit Bureau,JCB,3540660566628758,Jennifer T Turner,256,07/2010,07/2016,1,1473,198200
AX,American Express,American Express,373818432827966,Charles R Farrell,6890,10/2012,10/2030,8,5444,71400
